TESTACCRANKS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,1.0,2.0,3.0
acute-inflammation,2.0,2.0,2.0
acute-nephritis,2.0,2.0,2.0
adult,1.0,2.0,3.0
annealing,1.0,2.0,3.0
arrhythmia,3.0,1.0,2.0
audiology-std,2.0,1.0,3.0
balance-scale,1.0,2.0,3.0
balloons,3.0,1.0,2.0
bank,3.0,1.0,2.0
blood,3.0,2.0,1.0
breast-cancer,3.0,1.0,2.0
breast-cancer-wisc,1.0,3.0,2.0
breast-cancer-wisc-diag,1.0,3.0,2.0
breast-cancer-wisc-prog,3.0,1.0,2.0
breast-tissue,3.0,1.0,2.0
car,1.0,2.0,3.0
cardiotocography-3clases,1.0,2.0,3.0
cardiotocography-10clases,1.0,2.0,3.0
chess-krvk,1.5,3.0,1.5
chess-krvkp,1.0,2.0,3.0
congressional-voting,3.0,1.0,2.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0
conn-bench-vowel-deterding,1.0,2.0,3.0
connect-4,1.0,2.0,3.0
contrac,3.0,1.0,2.0
credit-approval,3.0,2.0,1.0
cylinder-bands,3.0,1.0,2.0
dermatology,3.0,2.0,1.0
echocardiogram,1.0,3.0,2.0
ecoli,1.0,2.5,2.5
energy-y1,1.0,2.0,3.0
energy-y2,2.0,1.0,3.0
fertility,2.0,1.0,3.0
flags,1.0,2.0,3.0
glass,3.0,2.0,1.0
haberman-survival,3.0,2.0,1.0
hayes-roth,2.0,1.0,3.0
heart-cleveland,1.0,3.0,2.0
heart-hungarian,3.0,1.0,2.0
heart-switzerland,3.0,2.0,1.0
heart-va,3.0,2.0,1.0
hepatitis,3.0,1.0,2.0
hill-valley,1.0,2.0,3.0
horse-colic,1.0,2.0,3.0
ilpd-indian-liver,1.0,3.0,2.0
image-segmentation,1.0,2.0,3.0
ionosphere,1.0,2.0,3.0
iris,1.0,2.0,3.0
led-display,1.0,2.0,3.0
lenses,2.0,1.0,3.0
letter,1.0,2.0,3.0
libras,2.0,1.0,3.0
low-res-spect,1.0,2.0,3.0
lung-cancer,2.0,1.0,3.0
lymphography,3.0,1.5,1.5
magic,1.0,2.0,3.0
mammographic,1.0,3.0,2.0
miniboone,1.0,2.0,3.0
molec-biol-promoter,1.0,2.0,3.0
molec-biol-splice,1.0,2.0,3.0
monks-1,1.0,2.0,3.0
monks-2,1.0,2.0,3.0
monks-3,1.0,2.0,3.0
mushroom,1.0,2.5,2.5
musk-1,1.0,2.0,3.0
musk-2,1.0,2.0,3.0
nursery,1.0,2.0,3.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0
oocytes_merluccius_states_2f,3.0,2.0,1.0
oocytes_trisopterus_nucleus_2f,2.0,1.0,3.0
oocytes_trisopterus_states_5b,2.0,1.0,3.0
optical,1.0,2.0,3.0
ozone,1.0,3.0,2.0
page-blocks,1.0,2.0,3.0
parkinsons,1.0,2.0,3.0
pendigits,1.0,2.0,3.0
pima,3.0,2.0,1.0
pittsburg-bridges-MATERIAL,1.5,1.5,3.0
pittsburg-bridges-REL-L,3.0,2.0,1.0
pittsburg-bridges-SPAN,2.0,1.0,3.0
pittsburg-bridges-T-OR-D,3.0,1.0,2.0
pittsburg-bridges-TYPE,3.0,2.0,1.0
planning,1.0,2.0,3.0
plant-margin,1.0,2.0,3.0
plant-shape,2.0,3.0,1.0
plant-texture,1.5,3.0,1.5
post-operative,2.0,1.0,3.0
primary-tumor,1.0,2.0,3.0
ringnorm,1.0,2.0,3.0
seeds,3.0,1.0,2.0
semeion,2.0,1.0,3.0
soybean,3.0,1.0,2.0
spambase,1.0,2.0,3.0
spect,1.0,2.0,3.0
spectf,2.0,1.0,3.0
statlog-australian-credit,1.0,2.0,3.0
statlog-german-credit,1.0,2.0,3.0
statlog-heart,1.0,2.0,3.0
statlog-image,1.5,1.5,3.0
statlog-landsat,1.0,2.0,3.0
statlog-shuttle,1.0,2.0,3.0
statlog-vehicle,1.0,2.0,3.0
steel-plates,1.0,2.0,3.0
synthetic-control,3.0,1.0,2.0
teaching,3.0,2.0,1.0
thyroid,1.0,2.0,3.0
tic-tac-toe,1.5,3.0,1.5
titanic,2.0,2.0,2.0
trains,3.0,1.5,1.5
twonorm,1.0,2.0,3.0
vertebral-column-2clases,3.0,2.0,1.0
vertebral-column-3clases,1.0,2.0,3.0
wall-following,1.0,2.0,3.0
waveform,1.0,2.0,3.0
waveform-noise,1.0,2.0,3.0
wine,3.0,2.0,1.0
wine-quality-red,3.0,2.0,1.0
wine-quality-white,1.0,3.0,2.0
yeast,2.0,1.0,3.0
zoo,3.0,2.0,1.0
