TESTAUROCRANKS:,CAWPE-S(a=4-probs),WMC(a=1-probs),MC(a=0-probs),EWMV(a=4-preds),WMV(a=1-preds),MV(a=0-preds)
abalone,1.0,2.0,3.0,5.0,4.0,6.0
acute-inflammation,3.5,3.5,3.5,3.5,3.5,3.5
acute-nephritis,3.5,3.5,3.5,3.5,3.5,3.5
adult,1.0,2.0,3.0,4.0,5.0,6.0
annealing,1.0,2.0,3.0,4.0,5.0,6.0
arrhythmia,1.0,2.0,3.0,5.0,6.0,4.0
audiology-std,1.0,2.0,3.0,6.0,4.0,5.0
balance-scale,1.0,2.0,3.0,5.0,4.0,6.0
balloons,3.0,1.0,2.0,4.0,5.0,6.0
bank,1.0,2.0,3.0,4.0,5.0,6.0
blood,3.0,2.0,1.0,4.0,5.0,6.0
breast-cancer,1.0,2.0,3.0,5.0,4.0,6.0
breast-cancer-wisc,1.0,2.0,3.0,4.5,4.5,6.0
breast-cancer-wisc-diag,1.0,2.0,3.0,4.0,5.0,6.0
breast-cancer-wisc-prog,3.0,2.0,1.0,5.0,4.0,6.0
breast-tissue,3.0,1.0,2.0,5.0,4.0,6.0
car,1.0,2.0,3.0,4.5,4.5,6.0
cardiotocography-3clases,1.0,2.0,3.0,6.0,5.0,4.0
cardiotocography-10clases,1.0,2.0,3.0,5.0,6.0,4.0
chess-krvk,1.0,2.0,3.0,4.0,5.0,6.0
chess-krvkp,1.0,2.0,3.0,4.0,5.0,6.0
congressional-voting,3.0,1.0,2.0,4.0,5.0,6.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,4.0,5.0,6.0
conn-bench-vowel-deterding,1.0,2.0,3.0,4.0,5.0,6.0
connect-4,1.0,2.0,3.0,4.5,4.5,6.0
contrac,1.0,2.0,3.0,4.0,5.0,6.0
credit-approval,1.0,2.0,3.0,4.0,5.0,6.0
cylinder-bands,3.0,1.0,2.0,4.0,5.0,6.0
dermatology,3.0,2.0,1.0,5.5,5.5,4.0
echocardiogram,3.0,2.0,1.0,4.5,4.5,6.0
ecoli,1.0,2.0,3.0,5.0,6.0,4.0
energy-y1,1.0,2.0,3.0,4.0,5.0,6.0
energy-y2,1.0,2.0,3.0,4.0,5.0,6.0
fertility,1.0,2.0,3.0,4.5,4.5,6.0
flags,1.0,2.0,3.0,4.0,5.0,6.0
glass,2.0,1.0,3.0,5.0,6.0,4.0
haberman-survival,1.0,2.0,3.0,4.5,4.5,6.0
hayes-roth,1.0,2.0,3.0,4.0,5.0,6.0
heart-cleveland,1.0,2.0,3.0,6.0,5.0,4.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,6.0
heart-switzerland,3.0,2.0,1.0,6.0,5.0,4.0
heart-va,3.0,2.0,1.0,6.0,5.0,4.0
hepatitis,3.0,2.0,1.0,4.0,5.0,6.0
hill-valley,1.0,2.0,3.0,4.0,5.0,6.0
horse-colic,1.0,2.0,3.0,4.0,5.0,6.0
ilpd-indian-liver,3.0,1.0,2.0,4.0,5.0,6.0
image-segmentation,1.0,2.0,3.0,5.0,4.0,6.0
ionosphere,1.0,2.0,3.0,5.0,4.0,6.0
iris,3.0,2.0,1.0,5.5,5.5,4.0
led-display,1.0,2.0,3.0,4.5,4.5,6.0
lenses,3.0,1.0,2.0,5.0,4.0,6.0
letter,1.0,2.0,3.0,4.0,5.0,6.0
libras,1.0,2.0,3.0,4.0,5.0,6.0
low-res-spect,1.0,2.0,3.0,4.0,5.0,6.0
lung-cancer,1.0,3.0,2.0,4.0,5.0,6.0
lymphography,1.0,2.0,3.0,6.0,5.0,4.0
magic,1.0,2.0,3.0,4.5,4.5,6.0
mammographic,1.0,2.0,3.0,4.0,5.0,6.0
miniboone,1.0,2.0,3.0,4.0,5.0,6.0
molec-biol-promoter,2.0,3.0,1.0,4.0,5.0,6.0
molec-biol-splice,1.0,2.0,3.0,4.0,5.0,6.0
monks-1,1.0,2.0,3.0,4.0,5.0,6.0
monks-2,1.0,2.0,3.0,4.0,5.0,6.0
monks-3,1.0,2.0,3.0,4.0,5.0,6.0
mushroom,3.0,3.0,3.0,3.0,3.0,6.0
musk-1,1.0,2.0,3.0,4.0,5.0,6.0
musk-2,1.0,2.0,3.0,4.5,4.5,6.0
nursery,1.0,2.0,3.0,4.0,5.0,6.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,6.0
oocytes_merluccius_states_2f,1.0,2.0,3.0,4.0,5.0,6.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,3.0,4.0,5.0,6.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,5.0,4.0,6.0
optical,1.0,2.0,3.0,4.5,4.5,6.0
ozone,1.0,2.0,3.0,4.5,4.5,6.0
page-blocks,1.0,2.0,3.0,5.0,6.0,4.0
parkinsons,1.0,2.0,3.0,4.0,5.0,6.0
pendigits,1.0,2.0,3.0,4.5,4.5,6.0
pima,1.0,2.0,3.0,4.0,5.0,6.0
pittsburg-bridges-MATERIAL,1.0,2.0,3.0,4.0,5.0,6.0
pittsburg-bridges-REL-L,2.0,1.0,3.0,4.0,5.0,6.0
pittsburg-bridges-SPAN,3.0,2.0,1.0,6.0,5.0,4.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,4.5,4.5,6.0
pittsburg-bridges-TYPE,1.0,2.0,3.0,5.0,6.0,4.0
planning,3.0,2.0,1.0,4.0,5.0,6.0
plant-margin,1.0,2.0,3.0,5.0,4.0,6.0
plant-shape,1.0,2.0,3.0,5.0,4.0,6.0
plant-texture,1.0,2.0,3.0,5.0,4.0,6.0
post-operative,6.0,5.0,4.0,3.0,2.0,1.0
primary-tumor,3.0,1.0,2.0,6.0,5.0,4.0
ringnorm,1.0,2.0,3.0,4.0,5.0,6.0
seeds,1.0,2.0,3.0,4.5,4.5,6.0
semeion,1.0,2.0,3.0,4.0,5.0,6.0
soybean,1.0,2.0,3.0,4.0,5.0,6.0
spambase,1.0,2.0,3.0,4.0,5.0,6.0
spect,1.0,2.0,3.0,4.0,5.0,6.0
spectf,1.0,2.0,3.0,4.5,4.5,6.0
statlog-australian-credit,1.0,2.0,3.0,4.0,5.0,6.0
statlog-german-credit,1.0,2.0,3.0,4.0,5.0,6.0
statlog-heart,1.0,2.0,3.0,5.0,4.0,6.0
statlog-image,1.0,2.0,3.0,5.0,4.0,6.0
statlog-landsat,1.0,2.0,3.0,4.0,5.0,6.0
statlog-shuttle,1.0,2.0,3.0,4.0,5.0,6.0
statlog-vehicle,1.0,2.0,3.0,4.0,5.0,6.0
steel-plates,1.0,2.0,3.0,4.0,5.0,6.0
synthetic-control,1.0,2.0,3.0,4.0,5.0,6.0
teaching,3.0,2.0,1.0,6.0,4.0,5.0
thyroid,1.0,2.0,3.0,4.0,5.0,6.0
tic-tac-toe,1.0,2.0,3.0,4.5,4.5,6.0
titanic,2.0,2.0,2.0,4.0,5.0,6.0
trains,2.5,2.5,1.0,5.5,5.5,4.0
twonorm,1.0,2.0,3.0,4.5,4.5,6.0
vertebral-column-2clases,1.0,2.0,3.0,4.0,5.0,6.0
vertebral-column-3clases,1.0,2.0,3.0,4.0,5.0,6.0
wall-following,1.0,3.0,4.0,2.0,5.0,6.0
waveform,1.0,2.0,3.0,5.0,4.0,6.0
waveform-noise,1.0,2.0,3.0,5.0,4.0,6.0
wine,1.0,3.0,2.0,4.5,4.5,6.0
wine-quality-red,3.0,1.0,2.0,6.0,5.0,4.0
wine-quality-white,2.0,1.0,3.0,4.0,5.0,6.0
yeast,1.0,2.0,3.0,6.0,5.0,4.0
zoo,1.0,2.0,3.0,5.5,5.5,4.0
