TESTAUROCRANKS:,CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
Adiac,2.0,1.0,3.0
ArrowHead,1.0,3.0,2.0
Beef,1.0,2.0,3.0
BeetleFly,2.0,3.0,1.0
BirdChicken,2.0,3.0,1.0
Car,1.0,2.0,3.0
CBF,1.0,2.0,3.0
ChlorineConcentration,2.0,1.0,3.0
CinCECGtorso,1.0,2.0,3.0
Coffee,2.0,2.0,2.0
Computers,1.0,3.0,2.0
CricketX,1.0,2.0,3.0
CricketY,1.0,2.0,3.0
CricketZ,1.0,3.0,2.0
DiatomSizeReduction,1.0,3.0,2.0
DistalPhalanxOutlineAgeGroup,1.0,3.0,2.0
DistalPhalanxOutlineCorrect,2.0,1.0,3.0
DistalPhalanxTW,1.0,3.0,2.0
Earthquakes,1.0,3.0,2.0
ECG200,1.0,3.0,2.0
ECG5000,1.0,3.0,2.0
ECGFiveDays,1.0,3.0,2.0
ElectricDevices,2.0,1.0,3.0
FaceAll,1.0,2.0,3.0
FaceFour,3.0,2.0,1.0
FacesUCR,1.0,3.0,2.0
FiftyWords,1.0,3.0,2.0
Fish,1.0,2.0,3.0
FordA,1.0,2.0,3.0
FordB,1.0,2.0,3.0
GunPoint,2.0,1.0,3.0
Ham,1.0,3.0,2.0
HandOutlines,2.0,1.0,3.0
Haptics,1.0,2.0,3.0
Herring,1.0,3.0,2.0
InlineSkate,2.0,3.0,1.0
InsectWingbeatSound,1.0,3.0,2.0
ItalyPowerDemand,1.0,3.0,2.0
LargeKitchenAppliances,1.0,3.0,2.0
Lightning2,1.0,3.0,2.0
Lightning7,2.0,3.0,1.0
Mallat,1.0,3.0,2.0
Meat,1.0,2.5,2.5
MedicalImages,2.0,3.0,1.0
MiddlePhalanxOutlineAgeGroup,1.0,3.0,2.0
MiddlePhalanxOutlineCorrect,2.0,1.0,3.0
MiddlePhalanxTW,2.0,1.0,3.0
MoteStrain,1.0,3.0,2.0
NonInvasiveFetalECGThorax1,2.0,1.0,3.0
NonInvasiveFetalECGThorax2,2.0,1.0,3.0
OliveOil,1.0,3.0,2.0
OSULeaf,1.0,3.0,2.0
PhalangesOutlinesCorrect,2.0,1.0,3.0
Phoneme,2.0,3.0,1.0
Plane,1.0,3.0,2.0
ProximalPhalanxOutlineAgeGroup,1.0,3.0,2.0
ProximalPhalanxOutlineCorrect,2.0,1.0,3.0
ProximalPhalanxTW,1.0,3.0,2.0
RefrigerationDevices,2.0,1.0,3.0
ScreenType,2.0,3.0,1.0
ShapeletSim,1.0,3.0,2.0
ShapesAll,1.0,2.0,3.0
SmallKitchenAppliances,1.0,2.0,3.0
SonyAIBORobotSurface1,1.0,3.0,2.0
SonyAIBORobotSurface2,1.0,3.0,2.0
StarlightCurves,2.0,1.0,3.0
Strawberry,1.0,2.0,3.0
SwedishLeaf,1.0,2.0,3.0
Symbols,1.0,3.0,2.0
SyntheticControl,1.0,2.0,3.0
ToeSegmentation1,1.0,3.0,2.0
ToeSegmentation2,2.0,1.0,3.0
Trace,1.0,3.0,2.0
TwoLeadECG,1.0,2.0,3.0
TwoPatterns,2.0,1.0,3.0
UWaveGestureLibraryAll,1.0,3.0,2.0
UWaveGestureLibraryX,2.0,1.0,3.0
UWaveGestureLibraryY,1.0,2.0,3.0
UWaveGestureLibraryZ,2.0,1.0,3.0
Wafer,1.0,3.0,2.0
Wine,2.0,3.0,1.0
WordSynonyms,1.0,2.0,3.0
Worms,1.0,3.0,2.0
WormsTwoClass,3.0,2.0,1.0
Yoga,2.0,1.0,3.0
