TESTACCRANKS:,CAWPE,MLP,NN,SVML,C4.5,Logistic
abalone,3.0,1.0,4.0,5.0,6.0,2.0
acute-inflammation,3.5,3.5,3.5,3.5,3.5,3.5
acute-nephritis,3.0,3.0,3.0,3.0,6.0,3.0
adult,2.0,3.0,6.0,4.0,1.0,5.0
annealing,2.0,4.0,3.0,6.0,1.0,5.0
arrhythmia,1.0,2.0,5.0,4.0,3.0,6.0
audiology-std,1.0,4.0,5.0,3.0,2.0,6.0
balance-scale,3.0,1.0,5.0,2.0,6.0,4.0
balloons,1.0,2.0,4.0,3.0,6.0,5.0
bank,2.0,6.0,5.0,3.0,4.0,1.0
blood,2.0,1.0,3.0,6.0,5.0,4.0
breast-cancer,2.0,6.0,1.0,4.0,5.0,3.0
breast-cancer-wisc,2.0,5.0,3.0,1.0,6.0,4.0
breast-cancer-wisc-diag,2.0,4.0,3.0,1.0,6.0,5.0
breast-cancer-wisc-prog,1.0,4.0,3.0,2.0,6.0,5.0
breast-tissue,1.0,5.0,2.0,3.0,4.0,6.0
car,1.0,3.0,4.0,5.0,2.0,6.0
cardiotocography-10clases,1.0,4.0,6.0,5.0,2.0,3.0
cardiotocography-3clases,1.0,3.0,4.0,6.0,2.0,5.0
chess-krvk,1.0,4.0,3.0,5.0,2.0,6.0
chess-krvkp,2.0,3.0,6.0,5.0,1.0,4.0
congressional-voting,2.0,5.0,1.0,6.0,3.0,4.0
conn-bench-sonar-mines-rocks,1.0,3.0,2.0,4.0,5.0,6.0
conn-bench-vowel-deterding,2.0,3.0,1.0,6.0,4.0,5.0
connect-4,1.0,3.0,4.0,6.0,2.0,5.0
contrac,1.0,2.0,6.0,5.0,4.0,3.0
credit-approval,1.5,6.0,1.5,4.0,5.0,3.0
cylinder-bands,1.0,2.0,6.0,3.0,5.0,4.0
dermatology,1.0,3.0,5.0,2.0,6.0,4.0
echocardiogram,3.0,6.0,1.0,2.0,4.0,5.0
ecoli,1.0,4.0,3.0,2.0,6.0,5.0
energy-y1,2.0,3.0,5.0,6.0,1.0,4.0
energy-y2,1.0,3.0,5.0,6.0,2.0,4.0
fertility,3.0,5.0,2.0,4.0,1.0,6.0
flags,2.0,3.0,5.0,4.0,1.0,6.0
glass,1.0,4.0,3.0,6.0,2.0,5.0
haberman-survival,3.0,4.0,5.0,1.0,6.0,2.0
hayes-roth,1.0,4.0,3.0,5.0,2.0,6.0
heart-cleveland,2.0,5.0,4.0,1.0,6.0,3.0
heart-hungarian,1.0,5.0,4.0,3.0,6.0,2.0
heart-switzerland,3.0,1.0,2.0,6.0,4.0,5.0
heart-va,1.0,3.0,2.0,5.0,6.0,4.0
hepatitis,1.0,4.0,3.0,2.0,5.0,6.0
hill-valley,2.0,4.0,5.0,3.0,6.0,1.0
horse-colic,2.0,6.0,5.0,3.0,1.0,4.0
ilpd-indian-liver,2.0,4.0,5.0,3.0,6.0,1.0
image-segmentation,1.0,5.0,2.0,6.0,3.0,4.0
ionosphere,1.0,4.0,3.0,5.0,2.0,6.0
iris,4.0,1.0,2.0,3.0,6.0,5.0
led-display,2.5,5.0,1.0,2.5,6.0,4.0
lenses,1.0,4.0,6.0,2.0,3.0,5.0
letter,2.0,5.0,1.0,4.0,3.0,6.0
libras,1.0,3.0,2.0,4.0,6.0,5.0
low-res-spect,2.0,1.0,4.0,3.0,5.0,6.0
lung-cancer,2.0,5.0,6.0,1.0,3.0,4.0
lymphography,1.0,3.0,4.0,2.0,6.0,5.0
magic,2.0,1.0,4.0,6.0,3.0,5.0
mammographic,1.0,4.0,6.0,5.0,3.0,2.0
miniboone,2.0,5.0,3.0,6.0,1.0,4.0
molec-biol-promoter,1.0,4.0,3.0,5.0,6.0,2.0
molec-biol-splice,2.0,5.0,6.0,4.0,1.0,3.0
monks-1,1.0,2.0,4.0,5.0,3.0,6.0
monks-2,1.0,3.0,2.0,5.0,4.0,6.0
monks-3,2.0,3.0,4.0,5.0,1.0,6.0
mushroom,4.0,2.0,1.0,5.0,3.0,6.0
musk-1,2.0,1.0,3.0,4.0,5.0,6.0
musk-2,2.0,1.0,3.0,5.0,4.0,6.0
nursery,2.0,3.0,4.0,5.0,1.0,6.0
oocytes_merluccius_nucleus_4d,1.0,3.0,5.0,4.0,6.0,2.0
oocytes_merluccius_states_2f,1.0,4.0,5.0,3.0,6.0,2.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,5.0,4.0,6.0,3.0
oocytes_trisopterus_states_5b,1.0,2.0,5.0,4.0,6.0,3.0
